GEOM,field_1,field_2,field_3,field_4,ngw_id
"POINT (4431394.04435465 5403428.76005252)","37","""МО город-курорт Сочи, Хостинский район, восточная часть с. Краевско- Армянское,
ул. Измайловская, в районе домовладений №36,34А""","43.59792","39.80789",37
"POINT (4428451.87021298 5404767.70938652)","38","Богушевка, ул. Фундучная","43.60663","39.78146",38
"POINT (4425675.5621126 5402332.84131299)","39", ул. Яна Фабрициуса 66/6,"43.59079","39.75652",39
"POINT (4431701.28614924 5404677.00520488)","40","Краевско- Армянское, ул. Измайловская в районе моста через р. Мацеста","43.60604","39.81065",40
"POINT (4449470.10326966 5387971.85774784)","41","Липники, ул. Липецкая","43.49728","39.97027",41
"POINT (4425275.92514065 5400169.05205442)","42",ул. Метелёва 4,"43.57671","39.75293",42
"POINT (4425645.50585008 5412225.4069726)","43",ул. Краснодонская,"43.65512","39.75625",43
"POINT (4438598.64179879 5389652.37487454)","44",ул. Краснополян ская 6,"43.50823","39.87261",44
"POINT (4440066.94588235 5387701.7756622)","45",ул. Сухумское шоссе 33,"43.49552","39.8858",45
"POINT (4448529.45357246 5376391.48255497)","46","ул. Лесная, 37","43.42177","39.96182",46
"POINT (4439295.50181115 5390049.91163404)","47","""участок дороги 03К-470 """"п.Хоста - с.Каштаны км0+210 - 0+252""","43.51082","39.87887",47
"POINT (4427093.7724253 5420309.7099217)","48","с. Пластунка, ул. Джапаридзе (дорога на Ореховские водопады","43.70764","39.76926",48
"POINT (4426364.62976061 5406029.9734716)","49","с. Раздольное, ул. Тепличная в районе дома №71","43.61484","39.76271",49
"POINT (4402572.31499336 5426383.7505232)","50",СТ Черноморец,"43.74707","39.54898",50
"POINT (4451751.03963601 5397251.50397228)","51","с. Галицыно, ул. Батайская","43.55772","39.99076",51
"POINT (4420637.24195929 5406901.82040836)","52",ул. Клубничная в районе дома №66,"43.62051","39.71126",52
"POINT (4443500.03897842 5406219.09730597)","53","с. Воронцовка, ул. Шолоховская","43.61607","39.91664",53
"POINT (4460710.03225506 5410520.78721943)","54",с. Чвижепсе,"43.64404","40.07124",54
"POINT (4442235.449563 5395686.33196843)","55",«Подъезд кс. Красная Воля» 4 км +200,"43.54753","39.90528",55
"POINT (4416107.65187891 5418953.10935934)","56","с. Волковка, ул. Волковская","43.69883","39.67057",56
"POINT (4451195.55537696 5387987.20355723)","57",", с. Казачий Брод, СТ Пекан","43.49738","39.98577",57
"POINT (4410779.90104955 5413422.52108167)","58","мкр. Культурное Уч-Дере, склон железной дороги Туапсе-Адлер (ПК1950-1951)","43.6629","39.62271",58
"POINT (4441732.28546462 5392533.75148415)","59","с. Каштаны, ул. Мичурина в районе дома №25а","43.52700","39.90076",59
"POINT (4428617.73625426 5415018.40155333)","60",восточная окраина с. Пластунка,"43.67327","39.78295",60
"POINT (4422747.85950473 5401728.83501346)","61","мкр. Завокзальный , ул. Тоннельная","43.58686","39.73022",61
"POINT (4420694.0148996 5412462.35555035)","62","пер. Теневой, база отдыха «Мамайка Лес","43.65666","39.71177",62
"POINT (4433310.96598611 5393405.86314258)","63","мкр. Малый Ахун, Новороссийское шоссе","43.53268","39.82511",63
"POINT (4423401.30491569 5404055.93606548)","64","мкр. Малый Ахун, Новороссийское шоссе","43.602","39.73609",64
"POINT (4455741.84338095 5390703.81229186)","65","с. Ахштырь, ул. Кропоткинская у Пункта пограничного контроля","43.51508","40.02661",65
"POINT (4416316.93252161 5410253.12279098)","66", Центральный район. мкрн. Мамайка,"43.6423","39.67245",66
"POINT (4419876.92983718 5413850.31927078)","67",Лазаревский район. автодорога 0ЗК-466,"43.66568","39.70443",67
"POINT (4425126.75702299 5408130.54147287)","68",Центральный район. пер. Вишневый 85Б,"43.6285","39.75159",68
"POINT (4416116.55743818 5410579.24370076)","69",Центральный район. СТ Железнодорожник. ул. 73-й километр,"43.64442","39.67065",69
"POINT EMPTY","70",Лазаревский район. северная окраина с. Ордынка. ,,,70
"POINT (4417700.63379217 5418166.34157342)","71","""ул. Изобильная (Барановское шоссе""""""","43.69372","39.68488",71
"POINT EMPTY","72",Лазаревский район. с. Сергей-Поле. ул. Славы,,,72
"POINT (4421153.76439657 5417013.25513451)","73",""" (дорога на с. Разбитый Котел)""""""","43.68623","39.7159",73
"POINT EMPTY","74",Адлерский район. с. Ахштырь. ул. Кропоткинская,,,74
"POINT (4455913.27539677 5390438.25551946)","75",""" у Пункта пограничного контроля""""""","43.51335","40.02815",75
"POINT (4443126.00548935 5384949.2287828)","76",Адлерский район. с. Орел-Изумруд. ул. 10 лет Октября,"43.47758","39.91328",76
